# results from simulated data from project "project.tab"
# date: 2024-05-20T21:58:11-03:00
tree	terms	rootAge	lambda	ml-lambda
neogene-slow-0	84	9.021	161.133966	766.015625
neogene-slow-1	79	8.640	457.319505	23850.000000
neogene-slow-10	91	18.982	961.498641	6009.667969
neogene-slow-11	56	14.807	282.329727	954.492188
neogene-slow-12	57	16.807	322.562792	844.140625
neogene-slow-13	53	19.955	480.652051	1813.378906
neogene-slow-14	79	13.256	989.650949	8767.480469
neogene-slow-15	86	21.094	640.385674	3320.214844
neogene-slow-16	87	17.287	748.329924	6821.679688
neogene-slow-17	53	16.521	756.805132	3207.910156
neogene-slow-18	78	8.100	338.921042	1396.875000
neogene-slow-19	70	17.925	910.187126	9225.000000
neogene-slow-2	69	14.329	637.921243	3748.437500
neogene-slow-20	72	14.315	529.282428	1904.199219
neogene-slow-21	82	17.135	188.715436	414.453125
neogene-slow-22	86	6.539	343.659334	5814.843750
neogene-slow-23	73	7.487	693.549022	4583.398438
neogene-slow-24	62	12.707	152.461645	335.839844
neogene-slow-25	75	15.579	994.782591	9167.871094
neogene-slow-26	76	6.696	415.255962	2986.230469
neogene-slow-27	55	18.264	337.221122	2287.988281
neogene-slow-28	94	21.550	394.891864	1660.546875
neogene-slow-29	98	15.463	151.702563	427.636719
neogene-slow-3	50	6.328	795.701341	23850.000000
neogene-slow-30	87	12.697	170.894916	528.222656
neogene-slow-31	72	22.991	245.389338	808.984375
neogene-slow-32	71	18.046	618.493620	3549.218750
neogene-slow-33	78	5.433	531.905982	23850.000000
neogene-slow-34	59	9.833	249.903350	1402.734375
neogene-slow-35	57	12.173	158.162106	309.472656
neogene-slow-36	91	22.500	303.278224	794.335938
neogene-slow-37	60	15.005	136.369613	390.039062
neogene-slow-38	56	13.819	679.301919	6750.390625
neogene-slow-39	63	7.699	353.267276	2005.273438
neogene-slow-4	58	13.150	616.722125	4823.144531
neogene-slow-40	75	5.710	801.300595	23850.000000
neogene-slow-41	75	12.732	686.988242	2647.363281
neogene-slow-42	98	21.684	511.080703	2100.488281
neogene-slow-43	82	8.235	839.059242	23850.000000
neogene-slow-44	62	5.052	339.221948	3594.628906
neogene-slow-45	68	12.176	957.218573	16392.480469
neogene-slow-46	74	12.128	579.935627	2797.753906
neogene-slow-47	54	6.893	740.728204	23850.000000
neogene-slow-48	76	12.936	965.261994	9051.171875
neogene-slow-49	73	20.860	838.946652	5244.042969
neogene-slow-5	50	20.516	382.042815	1516.992188
neogene-slow-6	52	17.306	104.790801	346.093750
neogene-slow-7	97	21.860	842.717902	4177.148438
neogene-slow-8	96	9.655	793.610600	5957.421875
neogene-slow-9	77	21.413	628.954606	3878.808594
