# results from simulated data from project "project.tab"
# date: 2024-05-21T06:48:57-03:00
tree	terms	rootAge	lambda	ml-lambda
paleogene-avg-0	91	36.921	96.544151	144.921875
paleogene-avg-1	52	46.945	13.049847	18.945312
paleogene-avg-10	55	54.002	48.450179	49.707031
paleogene-avg-11	68	37.091	13.281207	11.621094
paleogene-avg-12	52	46.578	40.154420	54.589844
paleogene-avg-13	82	31.944	89.658070	136.132812
paleogene-avg-14	80	35.347	71.439187	95.117188
paleogene-avg-15	95	35.121	26.344302	32.128906
paleogene-avg-16	63	48.042	85.787724	114.160156
paleogene-avg-17	69	55.278	11.380305	20.410156
paleogene-avg-18	84	23.379	26.275403	34.570312
paleogene-avg-19	75	63.023	55.695220	59.960938
paleogene-avg-2	60	43.245	63.304831	77.050781
paleogene-avg-20	88	28.697	56.855995	95.117188
paleogene-avg-21	73	35.273	86.650403	158.593750
paleogene-avg-22	67	62.254	11.757639	11.621094
paleogene-avg-23	77	47.780	71.821310	122.949219
paleogene-avg-24	83	53.468	74.009270	108.789062
paleogene-avg-25	99	59.666	10.055329	11.132812
paleogene-avg-26	74	59.837	84.599741	109.277344
paleogene-avg-27	75	29.003	21.460541	32.128906
paleogene-avg-28	81	32.984	26.740778	37.988281
paleogene-avg-29	64	30.185	61.348600	86.816406
paleogene-avg-3	55	54.011	66.688987	90.234375
paleogene-avg-30	66	35.192	44.569419	72.656250
paleogene-avg-31	62	43.256	46.171327	63.867188
paleogene-avg-32	96	39.919	54.659675	71.679688
paleogene-avg-33	82	41.506	77.652692	92.675781
paleogene-avg-34	80	44.321	21.022573	22.363281
paleogene-avg-35	56	31.999	31.368922	37.988281
paleogene-avg-36	74	51.484	59.511156	79.492188
paleogene-avg-37	76	23.575	30.232607	43.847656
paleogene-avg-38	71	23.406	33.622672	43.359375
paleogene-avg-39	80	43.155	92.332978	127.832031
paleogene-avg-4	61	34.697	91.292216	112.695312
paleogene-avg-40	84	52.213	75.005112	90.234375
paleogene-avg-41	86	64.617	28.374527	34.570312
paleogene-avg-42	85	40.723	21.990950	26.269531
paleogene-avg-43	87	38.623	73.386490	100.976562
paleogene-avg-44	85	55.829	66.990130	79.492188
paleogene-avg-45	90	37.503	73.307178	117.578125
paleogene-avg-46	59	25.339	47.019550	64.355469
paleogene-avg-47	58	64.424	41.856413	62.402344
paleogene-avg-48	84	51.419	85.239876	103.906250
paleogene-avg-49	53	37.893	14.440980	15.527344
paleogene-avg-5	50	49.752	88.939357	154.687500
paleogene-avg-6	55	26.188	24.251184	37.988281
paleogene-avg-7	77	42.326	47.724295	56.542969
paleogene-avg-8	52	41.667	55.133115	58.984375
paleogene-avg-9	79	46.076	91.390110	109.765625
