# results from simulated data from project "project.tab"
# date: 2024-05-30T10:06:21-03:00
tree	terms	rootAge	lambda	ml-lambda
jurassic-fast-0	79	168.199	8.857818	28.710938
jurassic-fast-1	95	145.210	2.134748	7.226562
jurassic-fast-10	63	146.407	4.500291	18.457031
jurassic-fast-11	68	148.593	1.435720	3.808594
jurassic-fast-12	56	166.184	4.105499	18.945312
jurassic-fast-13	94	165.548	5.193699	27.246094
jurassic-fast-14	84	192.281	9.812010	35.546875
jurassic-fast-15	58	163.840	3.244868	9.179688
jurassic-fast-16	71	179.781	5.301931	14.550781
jurassic-fast-17	62	158.887	1.074796	1.855469
jurassic-fast-18	65	171.918	2.146031	8.203125
jurassic-fast-19	79	170.206	6.965006	16.992188
jurassic-fast-2	94	187.819	5.324708	13.085938
jurassic-fast-20	62	163.584	7.097418	21.875000
jurassic-fast-21	99	196.581	6.853190	18.457031
jurassic-fast-22	62	186.813	6.360815	30.664062
jurassic-fast-23	56	178.702	1.168181	20.898438
jurassic-fast-24	57	176.974	6.229455	12.109375
jurassic-fast-25	61	149.899	5.383225	24.316406
jurassic-fast-26	73	161.343	2.454995	16.503906
jurassic-fast-27	51	164.593	1.842336	2.832031
jurassic-fast-28	99	198.556	3.403643	7.226562
jurassic-fast-29	97	190.091	9.913008	38.964844
jurassic-fast-3	63	194.876	4.131213	19.433594
jurassic-fast-30	70	164.255	2.804672	21.875000
jurassic-fast-31	56	200.319	7.190031	42.871094
jurassic-fast-32	99	146.472	4.995721	13.085938
jurassic-fast-33	63	174.405	5.812296	20.410156
jurassic-fast-34	51	177.423	9.436229	44.335938
jurassic-fast-35	76	165.753	2.114595	8.203125
jurassic-fast-36	72	194.254	9.544309	52.148438
jurassic-fast-37	65	149.649	4.299024	4.296875
jurassic-fast-38	51	147.866	4.882115	28.710938
jurassic-fast-39	100	158.512	2.003925	2.832031
jurassic-fast-4	59	170.797	9.615288	46.777344
jurassic-fast-40	75	189.556	9.225992	18.457031
jurassic-fast-41	82	175.665	9.918170	31.152344
jurassic-fast-42	83	187.612	5.450918	41.894531
jurassic-fast-43	95	149.157	1.278972	13.574219
jurassic-fast-44	98	152.958	7.540420	29.199219
jurassic-fast-45	71	148.689	3.632684	24.316406
jurassic-fast-46	79	168.415	4.428505	17.480469
jurassic-fast-47	54	193.257	2.841235	4.296875
jurassic-fast-48	64	170.899	3.650869	13.085938
jurassic-fast-49	58	195.372	7.465021	13.574219
jurassic-fast-5	77	149.722	2.120640	17.968750
jurassic-fast-6	60	164.200	1.318702	7.714844
jurassic-fast-7	74	165.070	4.161624	50.195312
jurassic-fast-8	53	161.707	8.741536	71.679688
jurassic-fast-9	77	169.659	1.552741	0.390625
