# results from simulated data from project "project.tab"
# date: 2024-05-29T23:40:42-03:00
tree	terms	rootAge	lambda	ml-lambda
paleogene-fast-0	58	60.249	7.718874	22.851562
paleogene-fast-1	89	52.579	7.095590	14.062500
paleogene-fast-10	54	35.464	5.014883	8.203125
paleogene-fast-11	67	58.375	1.996088	5.761719
paleogene-fast-12	83	44.337	1.639296	2.343750
paleogene-fast-13	76	30.207	4.561466	10.644531
paleogene-fast-14	81	59.322	9.168874	25.781250
paleogene-fast-15	52	26.045	2.564005	12.597656
paleogene-fast-16	69	65.116	9.967935	35.058594
paleogene-fast-17	59	43.791	2.983935	11.132812
paleogene-fast-18	82	28.186	7.144269	16.015625
paleogene-fast-19	77	39.076	9.315265	25.781250
paleogene-fast-2	70	43.936	5.003973	12.109375
paleogene-fast-20	71	50.703	9.298388	20.898438
paleogene-fast-21	50	46.973	2.200512	1.367188
paleogene-fast-22	74	46.820	5.680246	16.503906
paleogene-fast-23	51	33.837	8.697944	16.015625
paleogene-fast-24	66	38.274	2.062082	11.132812
paleogene-fast-25	80	38.954	4.273435	12.597656
paleogene-fast-26	57	47.402	6.658952	18.457031
paleogene-fast-27	78	28.042	7.953231	18.457031
paleogene-fast-28	57	29.888	7.647916	18.945312
paleogene-fast-29	73	55.985	9.314856	21.875000
paleogene-fast-3	88	41.465	5.574903	17.480469
paleogene-fast-30	77	35.984	5.632372	14.062500
paleogene-fast-31	60	41.726	2.534388	6.738281
paleogene-fast-32	83	54.272	7.925896	22.363281
paleogene-fast-33	51	52.517	8.327365	17.968750
paleogene-fast-34	85	28.785	5.051706	12.109375
paleogene-fast-35	84	33.371	4.947688	13.085938
paleogene-fast-36	59	31.090	2.224579	4.296875
paleogene-fast-37	98	49.709	9.840113	27.734375
paleogene-fast-38	50	29.341	3.155215	8.203125
paleogene-fast-39	59	25.944	9.367803	24.316406
paleogene-fast-4	99	42.584	3.954221	9.667969
paleogene-fast-40	81	63.252	9.480426	22.363281
paleogene-fast-41	57	28.449	1.117006	4.296875
paleogene-fast-42	76	37.048	5.472108	15.039062
paleogene-fast-43	89	48.555	1.619842	2.343750
paleogene-fast-44	53	62.980	6.226529	23.828125
paleogene-fast-45	54	27.192	7.749828	15.039062
paleogene-fast-46	72	42.949	3.179507	10.644531
paleogene-fast-47	75	25.949	8.061433	19.921875
paleogene-fast-48	100	42.737	8.289229	19.433594
paleogene-fast-49	77	50.936	8.797992	20.898438
paleogene-fast-5	55	26.023	3.885938	10.644531
paleogene-fast-6	74	41.816	3.456527	11.132812
paleogene-fast-7	64	49.793	8.957589	30.664062
paleogene-fast-8	57	36.517	9.338531	20.410156
paleogene-fast-9	66	47.184	3.351141	9.179688
