# results from simulated data from project "project.tab"
# date: 2024-05-29T00:06:54-03:00
tree	terms	rootAge	lambda	ml-lambda
triassic-fast-0	90	235.396	4.070047	9.667969
triassic-fast-1	55	249.219	7.075675	10.644531
triassic-fast-10	65	245.889	3.652508	4.785156
triassic-fast-11	97	224.768	8.765784	13.085938
triassic-fast-12	57	214.735	4.337673	4.785156
triassic-fast-13	67	251.412	1.962756	1.367188
triassic-fast-14	53	224.839	5.662865	5.273438
triassic-fast-15	69	251.790	3.105113	8.691406
triassic-fast-16	59	248.401	8.404008	18.945312
triassic-fast-17	52	217.133	5.257409	9.179688
triassic-fast-18	94	239.553	6.953436	7.714844
triassic-fast-19	66	219.559	7.277755	11.621094
triassic-fast-2	76	231.016	6.634121	6.250000
triassic-fast-20	86	249.509	1.783221	1.367188
triassic-fast-21	70	213.500	1.677302	0.390625
triassic-fast-22	97	225.601	6.926596	6.738281
triassic-fast-23	55	249.106	3.224140	1.367188
triassic-fast-24	63	233.500	6.256358	6.250000
triassic-fast-25	78	217.982	5.261081	3.320312
triassic-fast-26	59	203.553	1.315713	0.878906
triassic-fast-27	82	219.430	9.799605	15.039062
triassic-fast-28	64	219.031	5.954282	5.273438
triassic-fast-29	60	251.725	4.405942	3.808594
triassic-fast-3	97	201.960	5.847908	8.691406
triassic-fast-30	71	251.028	3.858087	1.855469
triassic-fast-31	78	251.553	1.159809	1.367188
triassic-fast-32	71	232.633	8.643009	15.039062
triassic-fast-33	98	208.190	3.663880	5.273438
triassic-fast-34	76	219.272	2.244754	4.296875
triassic-fast-35	78	208.688	8.591608	11.621094
triassic-fast-36	55	225.627	5.143014	4.296875
triassic-fast-37	66	247.911	9.619008	20.898438
triassic-fast-38	73	221.934	6.296632	5.273438
triassic-fast-39	68	229.450	9.985976	13.574219
triassic-fast-4	53	239.618	4.067801	1.367188
triassic-fast-40	66	250.307	6.490208	18.457031
triassic-fast-41	56	229.089	3.511361	9.667969
triassic-fast-42	62	207.805	8.859903	8.203125
triassic-fast-43	52	217.029	2.158781	1.855469
triassic-fast-44	54	216.832	5.733823	8.691406
triassic-fast-45	70	204.679	3.818796	1.367188
triassic-fast-46	80	223.320	5.666573	22.851562
triassic-fast-47	50	210.230	9.035003	11.132812
triassic-fast-48	58	241.214	5.037161	5.273438
triassic-fast-49	66	238.430	6.979017	5.761719
triassic-fast-5	92	232.019	5.250047	9.179688
triassic-fast-6	53	237.352	7.365743	11.132812
triassic-fast-7	78	207.467	8.392165	8.203125
triassic-fast-8	94	212.289	3.313827	2.832031
triassic-fast-9	50	246.077	9.981339	18.457031
