# results from simulated data from project "project.tab"
# date: 2024-05-28T09:42:32-03:00
tree	terms	rootAge	lambda	ml-lambda
jurassic-slow-0	57	167.330	305.053792	672.753906
jurassic-slow-1	75	172.661	842.217049	3664.453125
jurassic-slow-10	72	197.401	735.222728	1487.695312
jurassic-slow-11	87	187.009	648.075543	1996.484375
jurassic-slow-12	67	172.151	884.031370	1486.718750
jurassic-slow-13	71	170.450	924.908455	1705.957031
jurassic-slow-14	61	149.795	797.231428	1175.683594
jurassic-slow-15	96	198.273	547.319070	902.734375
jurassic-slow-16	91	159.093	192.353520	343.164062
jurassic-slow-17	98	180.951	198.585964	297.753906
jurassic-slow-18	73	190.546	802.611473	4173.242188
jurassic-slow-19	71	199.302	919.936168	2765.039062
jurassic-slow-2	62	197.903	116.289531	178.125000
jurassic-slow-20	93	167.262	991.000228	2699.609375
jurassic-slow-21	79	169.607	404.545613	1126.367188
jurassic-slow-22	84	173.441	759.394026	1707.910156
jurassic-slow-23	55	197.543	967.081800	2969.628906
jurassic-slow-24	66	148.647	749.171514	8717.675781
jurassic-slow-25	55	163.769	506.635732	1805.566406
jurassic-slow-26	59	188.856	300.184984	337.792969
jurassic-slow-27	57	148.592	162.163309	190.332031
jurassic-slow-28	80	185.184	648.072776	2494.531250
jurassic-slow-29	61	161.604	579.217439	1193.261719
jurassic-slow-3	79	155.461	202.330781	303.125000
jurassic-slow-30	68	170.888	360.193393	682.031250
jurassic-slow-31	61	151.378	987.164374	6523.339844
jurassic-slow-32	51	183.344	421.907181	561.914062
jurassic-slow-33	61	197.896	803.953026	2912.988281
jurassic-slow-34	52	180.020	337.940292	485.742188
jurassic-slow-35	71	145.381	390.562261	551.660156
jurassic-slow-36	63	200.753	253.205940	513.085938
jurassic-slow-37	76	169.641	346.091955	879.296875
jurassic-slow-38	78	176.430	171.621357	338.281250
jurassic-slow-39	55	179.537	223.567513	538.476562
jurassic-slow-4	100	182.748	303.578295	398.828125
jurassic-slow-40	85	157.595	243.758930	266.503906
jurassic-slow-41	84	176.617	777.301114	6121.972656
jurassic-slow-42	70	149.902	920.087435	2140.039062
jurassic-slow-43	57	200.994	735.276718	2474.023438
jurassic-slow-44	59	179.978	606.830214	2331.933594
jurassic-slow-45	82	193.924	784.387192	2797.753906
jurassic-slow-46	77	162.159	814.170974	3493.066406
jurassic-slow-47	73	161.604	735.097104	2013.574219
jurassic-slow-48	82	189.809	564.731259	1310.937500
jurassic-slow-49	75	161.056	372.036123	728.417969
jurassic-slow-5	90	151.684	232.888707	344.628906
jurassic-slow-6	80	157.034	959.331434	3158.105469
jurassic-slow-7	54	149.319	176.776647	263.085938
jurassic-slow-8	89	149.756	836.435179	2169.824219
jurassic-slow-9	78	197.062	315.456939	699.609375
