# results from simulated data from project "project.tab"
# date: 2024-06-10T23:05:10-03:00
tree	terms	rootAge	lambda	ml-lambda
paleogene-slow-0	57	24.432	856.009925	23850.000000
paleogene-slow-1	81	33.161	978.534987	7088.769531
paleogene-slow-10	96	65.071	858.568045	3453.515625
paleogene-slow-11	67	34.474	567.513121	2202.539062
paleogene-slow-12	70	27.117	663.547604	6623.437500
paleogene-slow-13	80	24.011	947.849764	14070.703125
paleogene-slow-14	100	34.598	589.726821	5441.796875
paleogene-slow-15	73	41.593	964.380888	5995.019531
paleogene-slow-16	79	34.430	115.234814	212.304688
paleogene-slow-17	55	25.756	497.892104	1859.277344
paleogene-slow-18	95	34.184	803.688622	3473.535156
paleogene-slow-19	81	57.809	756.233460	3201.562500
paleogene-slow-2	69	40.274	252.205706	499.414062
paleogene-slow-20	94	51.964	233.149106	342.675781
paleogene-slow-21	87	63.728	807.999326	2058.496094
paleogene-slow-22	71	57.502	978.622219	8711.816406
paleogene-slow-23	67	60.133	923.939485	2331.445312
paleogene-slow-24	56	52.916	335.848512	619.042969
paleogene-slow-25	51	40.867	765.419049	1965.234375
paleogene-slow-26	80	31.142	246.635071	793.847656
paleogene-slow-27	60	48.226	562.677015	1677.636719
paleogene-slow-28	54	40.022	339.715325	1078.027344
paleogene-slow-29	83	24.475	304.058820	1022.363281
paleogene-slow-3	64	55.251	444.651221	959.375000
paleogene-slow-30	53	31.764	480.001872	7711.328125
paleogene-slow-31	66	23.597	479.033379	1357.324219
paleogene-slow-32	52	55.848	831.690704	7265.527344
paleogene-slow-33	81	25.495	606.402288	2329.492188
paleogene-slow-34	65	59.960	989.250103	3683.984375
paleogene-slow-35	70	50.517	460.880249	1144.921875
paleogene-slow-36	76	48.015	260.597326	1704.003906
paleogene-slow-37	85	53.521	783.415929	2343.164062
paleogene-slow-38	72	65.138	754.701478	3090.722656
paleogene-slow-39	80	56.502	270.364925	552.636719
paleogene-slow-4	100	46.243	698.421094	3104.394531
paleogene-slow-40	65	24.932	946.302627	10834.863281
paleogene-slow-41	70	39.275	982.218768	4853.417969
paleogene-slow-42	92	58.776	546.291986	2367.578125
paleogene-slow-43	90	64.984	751.883728	1042.871094
paleogene-slow-44	71	33.460	620.443799	2959.863281
paleogene-slow-45	91	38.725	417.019923	1378.320312
paleogene-slow-46	80	41.383	565.274544	1403.222656
paleogene-slow-47	54	51.856	543.992594	8742.089844
paleogene-slow-48	59	31.428	125.261128	305.078125
paleogene-slow-49	94	57.035	515.597289	1471.582031
paleogene-slow-5	95	57.761	876.639575	3859.765625
paleogene-slow-6	94	25.649	469.964529	927.636719
paleogene-slow-7	79	64.899	781.911137	4706.933594
paleogene-slow-8	69	38.269	376.144494	834.863281
paleogene-slow-9	78	49.897	272.199132	329.980469
