# results from simulated data from project "project.tab"
# date: 2024-06-11T12:10:13-03:00
tree	terms	rootAge	lambda	ml-lambda
jurassic-avg-0	63	196.051	74.720202	177.636719
jurassic-avg-1	53	169.207	85.096264	67.773438
jurassic-avg-10	62	170.260	11.400127	7.714844
jurassic-avg-11	54	199.336	10.548149	12.109375
jurassic-avg-12	84	188.776	15.672297	8.203125
jurassic-avg-13	52	164.644	80.960291	59.960938
jurassic-avg-14	81	158.740	69.395449	49.218750
jurassic-avg-15	65	168.362	94.694910	163.964844
jurassic-avg-16	55	184.441	57.709147	38.964844
jurassic-avg-17	51	195.665	78.510341	59.960938
jurassic-avg-18	83	190.459	94.820151	59.960938
jurassic-avg-19	81	151.264	75.360908	48.730469
jurassic-avg-2	62	191.220	28.745710	37.500000
jurassic-avg-20	70	154.213	38.232828	23.339844
jurassic-avg-21	64	159.151	61.004819	37.500000
jurassic-avg-22	59	153.094	18.795928	17.968750
jurassic-avg-23	80	157.287	42.407594	27.734375
jurassic-avg-24	66	181.503	81.131802	71.191406
jurassic-avg-25	61	188.321	86.808060	76.562500
jurassic-avg-26	62	159.400	71.546139	84.375000
jurassic-avg-27	64	178.000	47.160482	57.519531
jurassic-avg-28	95	192.878	11.268589	9.179688
jurassic-avg-29	66	181.827	55.492129	37.011719
jurassic-avg-3	95	173.686	24.188539	28.710938
jurassic-avg-30	83	200.484	95.959148	56.542969
jurassic-avg-31	84	149.571	45.347051	35.058594
jurassic-avg-32	100	190.775	20.525742	15.039062
jurassic-avg-33	92	173.168	28.225771	22.851562
jurassic-avg-34	50	166.148	26.916470	34.082031
jurassic-avg-35	56	155.318	60.008713	49.218750
jurassic-avg-36	74	146.946	38.251644	33.105469
jurassic-avg-37	66	190.819	82.547510	194.726562
jurassic-avg-38	72	199.341	92.818447	47.265625
jurassic-avg-39	73	163.362	27.726077	27.246094
jurassic-avg-4	92	187.684	89.562271	74.609375
jurassic-avg-40	80	184.616	42.137193	35.546875
jurassic-avg-41	66	148.988	51.989517	164.941406
jurassic-avg-42	71	170.528	90.704310	84.375000
jurassic-avg-43	52	199.177	68.691188	197.656250
jurassic-avg-44	59	164.107	51.378861	65.332031
jurassic-avg-45	90	199.769	24.486578	23.828125
jurassic-avg-46	77	162.501	79.026098	112.207031
jurassic-avg-47	56	181.269	94.591306	129.785156
jurassic-avg-48	94	188.973	63.483040	190.332031
jurassic-avg-49	63	165.583	94.505306	91.210938
jurassic-avg-5	93	149.037	86.228224	139.550781
jurassic-avg-6	56	175.280	82.752466	111.718750
jurassic-avg-7	99	147.587	16.422573	16.015625
jurassic-avg-8	83	198.641	53.805428	39.941406
jurassic-avg-9	54	184.940	30.685519	27.246094
