# results from simulated data from project "project.tab"
# date: 2024-06-11T21:54:36-03:00
tree	terms	rootAge	lambda	ml-lambda
triassic-avg-0	75	250.814	42.416659	41.406250
triassic-avg-1	95	227.335	15.507033	12.109375
triassic-avg-10	54	248.008	86.625642	64.843750
triassic-avg-11	97	203.825	26.221234	24.316406
triassic-avg-12	91	231.185	33.547779	28.710938
triassic-avg-13	58	227.302	70.795080	196.191406
triassic-avg-14	94	238.141	13.244118	22.363281
triassic-avg-15	74	214.628	35.645333	29.199219
triassic-avg-16	68	206.937	11.823298	15.527344
triassic-avg-17	50	201.207	61.430280	85.351562
triassic-avg-18	53	223.386	30.715682	26.757812
triassic-avg-19	89	238.161	83.754288	74.609375
triassic-avg-2	68	230.741	64.604957	191.796875
triassic-avg-20	58	230.523	28.331433	9.179688
triassic-avg-21	80	239.105	80.207037	47.265625
triassic-avg-22	57	250.833	95.519374	58.984375
triassic-avg-23	68	217.134	11.234266	11.621094
triassic-avg-24	84	205.402	52.720323	46.777344
triassic-avg-25	80	240.279	67.378647	46.777344
triassic-avg-26	73	234.755	81.046549	45.312500
triassic-avg-27	92	214.621	41.896416	33.105469
triassic-avg-28	72	223.000	36.386264	37.500000
triassic-avg-29	53	237.003	13.869510	21.386719
triassic-avg-3	55	220.600	57.415122	35.058594
triassic-avg-30	55	204.134	51.409604	35.058594
triassic-avg-31	79	209.025	96.990008	78.515625
triassic-avg-32	84	217.067	15.723282	22.851562
triassic-avg-33	93	242.914	36.075407	28.222656
triassic-avg-34	71	230.701	37.479312	39.453125
triassic-avg-35	72	250.398	70.865469	48.730469
triassic-avg-36	100	208.796	34.632225	36.035156
triassic-avg-37	72	216.008	28.012844	21.875000
triassic-avg-38	50	234.659	88.582697	48.242188
triassic-avg-39	63	245.759	65.023346	52.636719
triassic-avg-4	74	235.670	85.367859	43.359375
triassic-avg-40	95	234.116	74.280794	176.171875
triassic-avg-41	55	234.118	11.192547	1.367188
triassic-avg-42	52	212.306	83.980073	205.468750
triassic-avg-43	68	217.603	95.332039	57.031250
triassic-avg-44	93	249.666	25.215318	23.828125
triassic-avg-45	53	248.165	39.645158	39.453125
triassic-avg-46	76	217.776	38.285925	29.199219
triassic-avg-47	94	233.486	78.708298	53.125000
triassic-avg-48	89	213.996	93.500454	82.421875
triassic-avg-49	89	208.682	88.982275	51.660156
triassic-avg-5	50	202.212	17.955279	16.992188
triassic-avg-6	72	234.500	52.713997	188.867188
triassic-avg-7	81	248.996	85.072819	47.753906
triassic-avg-8	50	231.913	77.811241	46.289062
triassic-avg-9	65	249.745	95.400340	49.707031
