# results from simulated data from project "project.tab"
# date: 2024-06-11T06:50:55-03:00
tree	terms	rootAge	lambda	ml-lambda
cretaceous-fast-0	67	141.049	8.046940	2.343750
cretaceous-fast-1	93	83.569	8.417153	10.644531
cretaceous-fast-10	56	74.341	3.410170	4.296875
cretaceous-fast-11	89	79.995	7.216258	12.109375
cretaceous-fast-12	63	108.082	9.825951	11.132812
cretaceous-fast-13	94	98.492	8.158242	7.226562
cretaceous-fast-14	98	144.687	1.094394	1.367188
cretaceous-fast-15	95	134.106	5.810263	8.691406
cretaceous-fast-16	83	121.931	4.215354	7.714844
cretaceous-fast-17	74	89.135	1.557539	0.878906
cretaceous-fast-18	87	107.503	9.105710	6.738281
cretaceous-fast-19	50	109.462	2.566150	6.250000
cretaceous-fast-2	70	77.095	6.028074	6.738281
cretaceous-fast-20	57	75.735	8.622058	8.691406
cretaceous-fast-21	74	113.594	2.973748	4.785156
cretaceous-fast-22	69	107.560	1.878197	3.320312
cretaceous-fast-23	55	118.008	3.760750	7.226562
cretaceous-fast-24	50	93.046	3.510079	4.296875
cretaceous-fast-25	90	132.006	5.927494	4.296875
cretaceous-fast-26	61	125.782	1.996913	1.367188
cretaceous-fast-27	79	104.460	4.568386	4.785156
cretaceous-fast-28	68	86.908	2.863864	5.273438
cretaceous-fast-29	86	74.596	1.187416	2.832031
cretaceous-fast-3	65	76.092	9.144760	10.156250
cretaceous-fast-30	52	115.738	2.971423	4.296875
cretaceous-fast-31	69	66.270	6.813351	6.250000
cretaceous-fast-32	67	137.915	8.502173	8.691406
cretaceous-fast-33	53	119.943	4.160397	8.203125
cretaceous-fast-34	70	139.291	5.186018	3.808594
cretaceous-fast-35	61	114.987	3.651955	4.785156
cretaceous-fast-36	57	110.999	4.139323	2.832031
cretaceous-fast-37	89	137.685	9.081864	10.156250
cretaceous-fast-38	65	107.182	5.283251	4.785156
cretaceous-fast-39	80	124.884	8.117547	7.226562
cretaceous-fast-4	87	143.665	7.069358	3.808594
cretaceous-fast-40	80	129.385	2.615179	3.320312
cretaceous-fast-41	61	122.766	2.721092	2.832031
cretaceous-fast-42	52	131.153	8.483549	16.015625
cretaceous-fast-43	56	125.140	8.166396	10.156250
cretaceous-fast-44	57	76.338	4.940268	4.296875
cretaceous-fast-45	83	92.503	2.371710	1.855469
cretaceous-fast-46	52	105.325	3.034782	4.296875
cretaceous-fast-47	80	99.915	9.774215	13.574219
cretaceous-fast-48	69	136.584	9.321968	10.156250
cretaceous-fast-49	60	69.730	8.280998	16.992188
cretaceous-fast-5	75	124.380	3.569570	3.320312
cretaceous-fast-6	89	126.359	1.205567	1.367188
cretaceous-fast-7	74	96.843	3.773251	6.250000
cretaceous-fast-8	59	107.069	9.371942	10.156250
cretaceous-fast-9	70	76.136	4.467590	3.320312
